date,workload
2020-01-22,184.0
2020-01-23,524.0
2020-01-24,729.0
2020-01-25,1174.0
2020-01-26,1475.0
2020-01-27,2569.0
2020-01-28,3269.0
2020-01-29,3224.0
2020-01-30,3749.0
2020-01-31,4134.0
2020-02-01,4729.0
2020-02-02,5444.0
2020-02-03,6070.0
2020-02-04,12506.0
2020-02-05,7641.0
2020-02-06,6872.0
2020-02-07,6558.0
2020-02-08,6075.0
2020-02-09,5672.0
2020-02-10,5471.0
2020-02-11,4512.0
2020-02-12,3857.0
2020-02-13,3842.0
2020-02-14,18923.0
2020-02-15,3805.0
2020-02-16,19540.0
2020-02-17,4133.0
2020-02-18,3616.0
2020-02-19,4322.0
2020-02-20,1013.0
2020-02-21,2131.0
2020-02-22,2258.0
2020-02-23,2021.0
2020-02-24,1198.0
2020-02-25,1899.0
2020-02-26,2037.0
2020-02-27,2795.0
2020-02-28,3035.0
2020-02-29,4216.0
2020-03-01,5020.0
2020-03-02,4361.0
2020-03-03,4989.0
2020-03-04,5286.0
2020-03-05,5949.0
2020-03-06,8156.0
2020-03-07,10106.0
2020-03-08,10453.0
2020-03-09,10364.0
2020-03-10,12042.0
2020-03-11,14617.0
2020-03-12,17585.0
2020-03-13,20661.0
2020-03-14,26543.0
2020-03-15,33753.0
2020-03-16,34779.0
2020-03-17,36127.0
2020-03-18,50873.0
2020-03-19,92888.0
2020-03-20,83960.0
2020-03-21,94897.0
2020-03-22,96441.0
2020-03-23,116963.0
2020-03-24,117402.0
2020-03-25,137304.0
2020-03-26,175209.0
2020-03-27,172431.0
2020-03-28,189034.0
2020-03-29,161017.0
2020-03-30,183610.0
2020-03-31,211825.0
2020-04-01,222554.0
2020-04-02,246822.0
2020-04-03,251742.0
2020-04-04,260645.0
2020-04-05,231906.0
2020-04-06,225816.0
2020-04-07,247459.0
2020-04-08,280184.0
2020-04-09,259128.0
2020-04-10,281000.0
2020-04-11,242895.0
2020-04-12,281484.0
2020-04-13,202393.0
2020-04-14,244804.0
2020-04-15,258095.0
2020-04-16,273750.0
2020-04-17,254750.0
2020-04-18,242510.0
2020-04-19,232831.0
2020-04-20,256183.0
2020-04-21,233277.0
2020-04-22,250138.0
2020-04-23,284455.0
2020-04-24,274863.0
2020-04-25,252582.0
2020-04-26,177416.0
2020-04-27,228647.0
2020-04-28,254641.0
2020-04-29,248669.0
2020-04-30,243476.0
2020-05-01,301734.0
2020-05-02,256343.0
2020-05-03,235263.0
2020-05-04,242226.0
2020-05-05,259654.0
2020-05-06,280015.0
2020-05-07,288893.0
2020-05-08,275041.0
2020-05-09,245626.0
2020-05-10,220805.0
2020-05-11,226551.0
2020-05-12,273406.0
2020-05-13,286617.0
2020-05-14,304045.0
2020-05-15,289872.0
2020-05-16,258136.0
2020-05-17,243620.0
2020-05-18,282095.0
2020-05-19,281385.0
2020-05-20,315130.0
2020-05-21,314757.0
2020-05-22,306025.0
2020-05-23,299097.0
2020-05-24,268733.0
2020-05-25,270774.0
2020-05-26,321536.0
2020-05-27,341706.0
2020-05-28,355826.0
2020-05-29,373984.0
2020-05-30,309754.0
2020-05-31,304349.0
2020-06-01,288478.0
2020-06-02,346785.0
2020-06-03,360485.0
2020-06-04,393922.0
2020-06-05,385490.0
2020-06-06,358363.0
2020-06-07,326479.0
2020-06-08,324279.0
2020-06-09,417073.0
2020-06-10,356194.0
2020-06-11,477726.0
2020-06-12,367595.0
2020-06-13,363404.0
2020-06-14,369196.0
2020-06-15,383058.0
2020-06-16,481310.0
2020-06-17,448287.0
2020-06-18,451391.0
2020-06-19,525083.0
2020-06-20,390117.0
2020-06-21,515983.0
2020-06-22,432910.0
2020-06-23,421126.0
2020-06-24,607283.0
2020-06-25,520471.0
2020-06-26,602911.0
2020-06-27,492005.0
2020-06-28,496757.0
2020-06-29,492693.0
2020-06-30,512645.0
2020-07-01,509030.0
2020-07-02,577765.0
2020-07-03,640618.0
2020-07-04,547787.0
2020-07-05,521819.0
2020-07-06,580802.0
2020-07-07,665060.0
2020-07-08,708643.0
2020-07-09,682559.0
2020-07-10,619063.0
2020-07-11,667570.0
2020-07-12,644347.0
2020-07-13,696960.0
2020-07-14,669346.0
2020-07-15,792020.0
2020-07-16,817976.0
2020-07-17,729008.0
2020-07-18,755969.0
2020-07-19,674953.0
2020-07-20,644180.0
2020-07-21,769921.0
2020-07-22,1086491.0
2020-07-23,873807.0
2020-07-24,888843.0
2020-07-25,749087.0
2020-07-26,716098.0
2020-07-27,803003.0
2020-07-28,806551.0
2020-07-29,890214.0
2020-07-30,838661.0
2020-07-31,832885.0
2020-08-01,802354.0
2020-08-02,788684.0
2020-08-03,750524.0
2020-08-04,748311.0
2020-08-05,949540.0
2020-08-06,809657.0
2020-08-07,959009.0
2020-08-08,830462.0
2020-08-09,704541.0
2020-08-10,756442.0
2020-08-11,828982.0
2020-08-12,789943.0
2020-08-13,1094936.0
2020-08-14,856832.0
2020-08-15,831767.0
2020-08-16,606023.0
2020-08-17,708261.0
2020-08-18,770381.0
2020-08-19,882646.0
2020-08-20,882161.0
2020-08-21,692625.0
2020-08-22,863518.0
2020-08-23,551268.0
2020-08-24,753636.0
2020-08-25,856787.0
2020-08-26,858044.0
2020-08-27,893665.0
2020-08-28,791222.0
2020-08-29,813332.0
2020-08-30,734087.0
2020-08-31,805452.0
2020-09-01,802913.0
2020-09-02,888451.0
2020-09-03,911989.0
2020-09-04,856785.0
2020-09-05,890211.0
2020-09-06,727602.0
2020-09-07,707049.0
2020-09-08,696274.0
2020-09-09,950010.0
2020-09-10,1101566.0
2020-09-11,1014343.0
2020-09-12,848899.0
2020-09-13,812594.0
2020-09-14,898205.0
2020-09-15,966147.0
2020-09-16,1022313.0
2020-09-17,989550.0
2020-09-18,1001536.0
2020-09-19,857729.0
2020-09-20,838322.0
2020-09-21,883866.0
2020-09-22,963266.0
2020-09-23,1007408.0
2020-09-24,1027536.0
2020-09-25,924293.0
2020-09-26,889199.0
2020-09-27,708104.0
2020-09-28,906896.0
2020-09-29,958926.0
2020-09-30,1055699.0
2020-10-01,1000895.0
2020-10-02,995772.0
2020-10-03,815592.0
2020-10-04,836886.0
2020-10-05,955745.0
2020-10-06,1052060.0
2020-10-07,1089394.0
2020-10-08,1067193.0
2020-10-09,1048164.0
2020-10-10,948544.0
2020-10-11,970238.0
2020-10-12,912094.0
2020-10-13,1013636.0
2020-10-14,1191017.0
2020-10-15,1156981.0
2020-10-16,1149557.0
2020-10-17,959119.0
2020-10-18,1042522.0
2020-10-19,1068864.0
2020-10-20,1151470.0
2020-10-21,1166120.0
2020-10-22,858927.0
2020-10-23,1315400.0
2020-10-24,1195227.0
2020-10-25,1134774.0
2020-10-26,1236758.0
2020-10-27,1372745.0
2020-10-28,1456346.0
2020-10-29,1399570.0
2020-10-30,1578002.0
2020-10-31,1280784.0
2020-11-01,1194390.0
2020-11-02,1243006.0
2020-11-03,1401919.0
2020-11-04,1647364.0
2020-11-05,1935626.0
2020-11-06,1698599.0
2020-11-07,1341755.0
2020-11-08,1487485.0
2020-11-09,1502838.0
