date,workload,energy_kwh,carbon_west_us_g,carbon_west_europe_g,carbon_north_europe_g
2020-01-22,184.0,0.092,36.8,23.0,9.2
2020-01-23,524.0,0.262,104.80000000000001,65.5,26.200000000000003
2020-01-24,729.0,0.3645,145.79999999999998,91.125,36.449999999999996
2020-01-25,1174.0,0.587,234.79999999999998,146.75,58.699999999999996
2020-01-26,1475.0,0.7375,295.0,184.375,73.75
2020-01-27,2569.0,1.2845,513.8,321.125,128.45
2020-01-28,3269.0,1.6345,653.8000000000001,408.625,163.45000000000002
2020-01-29,3224.0,1.612,644.8000000000001,403.0,161.20000000000002
2020-01-30,3749.0,1.8745,749.8000000000001,468.625,187.45000000000002
2020-01-31,4134.0,2.067,826.8000000000001,516.75,206.70000000000002
2020-02-01,4729.0,2.3645,945.8000000000001,591.125,236.45000000000002
2020-02-02,5444.0,2.722,1088.8,680.5,272.2
2020-02-03,6070.0,3.035,1214.0,758.75,303.5
2020-02-04,12506.0,6.253,2501.2,1563.25,625.3
2020-02-05,7641.0,3.8205,1528.2,955.125,382.05
2020-02-06,6872.0,3.436,1374.4,859.0,343.6
2020-02-07,6558.0,3.279,1311.6,819.75,327.9
2020-02-08,6075.0,3.0375,1215.0,759.375,303.75
2020-02-09,5672.0,2.836,1134.3999999999999,709.0,283.59999999999997
2020-02-10,5471.0,2.7355,1094.2,683.875,273.55
2020-02-11,4512.0,2.2560000000000002,902.4000000000001,564.0,225.60000000000002
2020-02-12,3857.0,1.9285,771.4000000000001,482.125,192.85000000000002
2020-02-13,3842.0,1.921,768.4,480.25,192.1
2020-02-14,18923.0,9.461500000000001,3784.6000000000004,2365.375,946.1500000000001
2020-02-15,3805.0,1.9025,761.0,475.625,190.25
2020-02-16,19540.0,9.77,3908.0,2442.5,977.0
2020-02-17,4133.0,2.0665,826.6,516.625,206.65
2020-02-18,3616.0,1.808,723.2,452.0,180.8
2020-02-19,4322.0,2.161,864.4,540.25,216.1
2020-02-20,1013.0,0.5065000000000001,202.60000000000002,126.62500000000001,50.650000000000006
2020-02-21,2131.0,1.0655000000000001,426.20000000000005,266.375,106.55000000000001
2020-02-22,2258.0,1.129,451.6,282.25,112.9
2020-02-23,2021.0,1.0105,404.2,252.625,101.05
2020-02-24,1198.0,0.599,239.6,149.75,59.9
2020-02-25,1899.0,0.9495,379.8,237.375,94.95
2020-02-26,2037.0,1.0185,407.4,254.625,101.85
2020-02-27,2795.0,1.3975,559.0,349.375,139.75
2020-02-28,3035.0,1.5175,607.0,379.375,151.75
2020-02-29,4216.0,2.108,843.2,527.0,210.8
2020-03-01,5020.0,2.5100000000000002,1004.0000000000001,627.5000000000001,251.00000000000003
2020-03-02,4361.0,2.1805,872.1999999999999,545.125,218.04999999999998
2020-03-03,4989.0,2.4945,997.8,623.625,249.45
2020-03-04,5286.0,2.6430000000000002,1057.2,660.7500000000001,264.3
2020-03-05,5949.0,2.9745,1189.8,743.625,297.45
2020-03-06,8156.0,4.078,1631.2,1019.5000000000001,407.8
2020-03-07,10106.0,5.053,2021.2,1263.25,505.3
2020-03-08,10453.0,5.2265,2090.6,1306.625,522.65
2020-03-09,10364.0,5.182,2072.8,1295.5,518.2
2020-03-10,12042.0,6.021,2408.4,1505.25,602.1
2020-03-11,14617.0,7.3085,2923.4,1827.125,730.85
2020-03-12,17585.0,8.7925,3517.0,2198.125,879.25
2020-03-13,20661.0,10.3305,4132.200000000001,2582.625,1033.0500000000002
2020-03-14,26543.0,13.2715,5308.599999999999,3317.875,1327.1499999999999
2020-03-15,33753.0,16.8765,6750.6,4219.125,1687.65
2020-03-16,34779.0,17.3895,6955.800000000001,4347.375,1738.9500000000003
2020-03-17,36127.0,18.0635,7225.400000000001,4515.875,1806.3500000000001
2020-03-18,50873.0,25.4365,10174.6,6359.125,2543.65
2020-03-19,92888.0,46.444,18577.600000000002,11611.0,4644.400000000001
2020-03-20,83960.0,41.980000000000004,16792.0,10495.000000000002,4198.0
2020-03-21,94897.0,47.4485,18979.4,11862.125,4744.85
2020-03-22,96441.0,48.2205,19288.2,12055.125,4822.05
2020-03-23,116963.0,58.481500000000004,23392.600000000002,14620.375000000002,5848.150000000001
2020-03-24,117402.0,58.701,23480.4,14675.25,5870.1
2020-03-25,137304.0,68.652,27460.8,17163.0,6865.2
2020-03-26,175209.0,87.6045,35041.8,21901.125,8760.45
2020-03-27,172431.0,86.2155,34486.200000000004,21553.875,8621.550000000001
2020-03-28,189034.0,94.517,37806.799999999996,23629.25,9451.699999999999
2020-03-29,161017.0,80.5085,32203.399999999998,20127.125,8050.849999999999
2020-03-30,183610.0,91.805,36722.0,22951.25,9180.5
2020-03-31,211825.0,105.91250000000001,42365.0,26478.125000000004,10591.25
2020-04-01,222554.0,111.277,44510.8,27819.25,11127.7
2020-04-02,246822.0,123.411,49364.4,30852.75,12341.1
2020-04-03,251742.0,125.87100000000001,50348.4,31467.750000000004,12587.1
2020-04-04,260645.0,130.3225,52129.0,32580.624999999996,13032.25
2020-04-05,231906.0,115.953,46381.200000000004,28988.25,11595.300000000001
2020-04-06,225816.0,112.908,45163.2,28227.0,11290.8
2020-04-07,247459.0,123.7295,49491.8,30932.375,12372.95
2020-04-08,280184.0,140.092,56036.8,35023.0,14009.2
2020-04-09,259128.0,129.564,51825.6,32391.0,12956.4
